	chrom	source	type	start	end	score	strand	phase	attributes	ID	Name	gbkey	gene	gene_biotype	gene_synonym	locus_tag	old_locus_tag	gieStain
392	NC_017628.1	RefSeq	gene	440689	441663	.	-	.	ID=gene-ECOK1_RS02075;Name=yajO;gbkey=Gene;gene=yajO;gene_biotype=protein_coding;locus_tag=ECOK1_RS02075;old_locus_tag=ECOK1_0399	gene-ECOK1_RS02075	yajO	Gene	yajO	protein_coding		ECOK1_RS02075	ECOK1_0399	.
393	NC_017628.1	RefSeq	gene	441718	443580	.	-	.	ID=gene-ECOK1_RS02080;Name=dxs;gbkey=Gene;gene=dxs;gene_biotype=protein_coding;locus_tag=ECOK1_RS02080;old_locus_tag=ECOK1_0400	gene-ECOK1_RS02080	dxs	Gene	dxs	protein_coding		ECOK1_RS02080	ECOK1_0400	.
394	NC_017628.1	RefSeq	gene	443605	444504	.	-	.	ID=gene-ECOK1_RS02085;Name=ispA;gbkey=Gene;gene=ispA;gene_biotype=protein_coding;locus_tag=ECOK1_RS02085;old_locus_tag=ECOK1_0401	gene-ECOK1_RS02085	ispA	Gene	ispA	protein_coding		ECOK1_RS02085	ECOK1_0401	.
395	NC_017628.1	RefSeq	gene	444504	444746	.	-	.	ID=gene-ECOK1_RS02090;Name=xseB;gbkey=Gene;gene=xseB;gene_biotype=protein_coding;locus_tag=ECOK1_RS02090;old_locus_tag=ECOK1_0402	gene-ECOK1_RS02090	xseB	Gene	xseB	protein_coding		ECOK1_RS02090	ECOK1_0402	.
396	NC_017628.1	RefSeq	gene	444952	446400	.	+	.	ID=gene-ECOK1_RS02095;Name=thiI;gbkey=Gene;gene=thiI;gene_biotype=protein_coding;locus_tag=ECOK1_RS02095;old_locus_tag=ECOK1_0403	gene-ECOK1_RS02095	thiI	Gene	thiI	protein_coding		ECOK1_RS02095	ECOK1_0403	.
397	NC_017628.1	RefSeq	gene	446454	447044	.	-	.	ID=gene-ECOK1_RS02100;Name=yajL;gbkey=Gene;gene=yajL;gene_biotype=protein_coding;locus_tag=ECOK1_RS02100;old_locus_tag=ECOK1_0404	gene-ECOK1_RS02100	yajL	Gene	yajL	protein_coding		ECOK1_RS02100	ECOK1_0404	.
398	NC_017628.1	RefSeq	gene	447007	447918	.	-	.	ID=gene-ECOK1_RS02105;Name=panE;gbkey=Gene;gene=panE;gene_biotype=protein_coding;locus_tag=ECOK1_RS02105;old_locus_tag=ECOK1_0405	gene-ECOK1_RS02105	panE	Gene	panE	protein_coding		ECOK1_RS02105	ECOK1_0405	.
399	NC_017628.1	RefSeq	gene	448086	448577	.	+	.	ID=gene-ECOK1_RS02110;Name=yajQ;gbkey=Gene;gene=yajQ;gene_biotype=protein_coding;locus_tag=ECOK1_RS02110;old_locus_tag=ECOK1_0406	gene-ECOK1_RS02110	yajQ	Gene	yajQ	protein_coding		ECOK1_RS02110	ECOK1_0406	.
400	NC_017628.1	RefSeq	gene	448705	450069	.	-	.	ID=gene-ECOK1_RS02115;Name=yajR;gbkey=Gene;gene=yajR;gene_biotype=protein_coding;locus_tag=ECOK1_RS02115;old_locus_tag=ECOK1_0407	gene-ECOK1_RS02115	yajR	Gene	yajR	protein_coding		ECOK1_RS02115	ECOK1_0407	.
401	NC_017628.1	RefSeq	gene	450218	451108	.	-	.	ID=gene-ECOK1_RS02120;Name=cyoE;gbkey=Gene;gene=cyoE;gene_biotype=protein_coding;locus_tag=ECOK1_RS02120;old_locus_tag=ECOK1_0408	gene-ECOK1_RS02120	cyoE	Gene	cyoE	protein_coding		ECOK1_RS02120	ECOK1_0408	.
402	NC_017628.1	RefSeq	gene	451120	451449	.	-	.	ID=gene-ECOK1_RS02125;Name=cyoD;gbkey=Gene;gene=cyoD;gene_biotype=protein_coding;locus_tag=ECOK1_RS02125;old_locus_tag=ECOK1_0409	gene-ECOK1_RS02125	cyoD	Gene	cyoD	protein_coding		ECOK1_RS02125	ECOK1_0409	.
403	NC_017628.1	RefSeq	gene	451449	452063	.	-	.	ID=gene-ECOK1_RS02130;Name=cyoC;gbkey=Gene;gene=cyoC;gene_biotype=protein_coding;locus_tag=ECOK1_RS02130;old_locus_tag=ECOK1_0410	gene-ECOK1_RS02130	cyoC	Gene	cyoC	protein_coding		ECOK1_RS02130	ECOK1_0410	.
404	NC_017628.1	RefSeq	gene	452053	454044	.	-	.	ID=gene-ECOK1_RS02135;Name=cyoB;gbkey=Gene;gene=cyoB;gene_biotype=protein_coding;locus_tag=ECOK1_RS02135;old_locus_tag=ECOK1_0411	gene-ECOK1_RS02135	cyoB	Gene	cyoB	protein_coding		ECOK1_RS02135	ECOK1_0411	.
405	NC_017628.1	RefSeq	gene	454066	455013	.	-	.	ID=gene-ECOK1_RS02140;Name=cyoA;gbkey=Gene;gene=cyoA;gene_biotype=protein_coding;locus_tag=ECOK1_RS02140;old_locus_tag=ECOK1_0412	gene-ECOK1_RS02140	cyoA	Gene	cyoA	protein_coding		ECOK1_RS02140	ECOK1_0412	.
406	NC_017628.1	RefSeq	gene	455472	456947	.	-	.	ID=gene-ECOK1_RS02145;Name=ampG;gbkey=Gene;gene=ampG;gene_biotype=protein_coding;locus_tag=ECOK1_RS02145;old_locus_tag=ECOK1_0413	gene-ECOK1_RS02145	ampG	Gene	ampG	protein_coding		ECOK1_RS02145	ECOK1_0413	.
407	NC_017628.1	RefSeq	gene	456991	457569	.	-	.	ID=gene-ECOK1_RS02150;Name=yajG;gbkey=Gene;gene=yajG;gene_biotype=protein_coding;locus_tag=ECOK1_RS02150;old_locus_tag=ECOK1_0414	gene-ECOK1_RS02150	yajG	Gene	yajG	protein_coding		ECOK1_RS02150	ECOK1_0414	.
408	NC_017628.1	RefSeq	gene	457874	458191	.	+	.	ID=gene-ECOK1_RS02155;Name=bolA;gbkey=Gene;gene=bolA;gene_biotype=protein_coding;locus_tag=ECOK1_RS02155;old_locus_tag=ECOK1_0416	gene-ECOK1_RS02155	bolA	Gene	bolA	protein_coding		ECOK1_RS02155	ECOK1_0416	.
409	NC_017628.1	RefSeq	gene	458535	459824	.	+	.	ID=gene-ECOK1_RS02165;Name=tig;gbkey=Gene;gene=tig;gene_biotype=protein_coding;locus_tag=ECOK1_RS02165;old_locus_tag=ECOK1_0418	gene-ECOK1_RS02165	tig	Gene	tig	protein_coding		ECOK1_RS02165	ECOK1_0418	.
410	NC_017628.1	RefSeq	gene	460079	460702	.	+	.	ID=gene-ECOK1_RS02170;Name=clpP;gbkey=Gene;gene=clpP;gene_biotype=protein_coding;locus_tag=ECOK1_RS02170;old_locus_tag=ECOK1_0419	gene-ECOK1_RS02170	clpP	Gene	clpP	protein_coding		ECOK1_RS02170	ECOK1_0419	.
411	NC_017628.1	RefSeq	gene	460828	462102	.	+	.	ID=gene-ECOK1_RS02175;Name=clpX;gbkey=Gene;gene=clpX;gene_biotype=protein_coding;locus_tag=ECOK1_RS02175;old_locus_tag=ECOK1_0420	gene-ECOK1_RS02175	clpX	Gene	clpX	protein_coding		ECOK1_RS02175	ECOK1_0420	.
412	NC_017628.1	RefSeq	gene	462290	464644	.	+	.	ID=gene-ECOK1_RS02180;Name=lon;gbkey=Gene;gene=lon;gene_biotype=protein_coding;locus_tag=ECOK1_RS02180;old_locus_tag=ECOK1_0421	gene-ECOK1_RS02180	lon	Gene	lon	protein_coding		ECOK1_RS02180	ECOK1_0421	.
413	NC_017628.1	RefSeq	gene	464835	465125	.	+	.	ID=gene-ECOK1_RS02185;Name=hupB;gbkey=Gene;gene=hupB;gene_biotype=protein_coding;locus_tag=ECOK1_RS02185;old_locus_tag=ECOK1_0422	gene-ECOK1_RS02185	hupB	Gene	hupB	protein_coding		ECOK1_RS02185	ECOK1_0422	.
414	NC_017628.1	RefSeq	gene	465317	467188	.	+	.	ID=gene-ECOK1_RS02190;Name=ppiD;gbkey=Gene;gene=ppiD;gene_biotype=protein_coding;locus_tag=ECOK1_RS02190;old_locus_tag=ECOK1_0423	gene-ECOK1_RS02190	ppiD	Gene	ppiD	protein_coding		ECOK1_RS02190	ECOK1_0423	.
415	NC_017628.1	RefSeq	gene	467339	467710	.	+	.	ID=gene-ECOK1_RS02195;Name=ybaV;gbkey=Gene;gene=ybaV;gene_biotype=protein_coding;locus_tag=ECOK1_RS02195;old_locus_tag=ECOK1_0424	gene-ECOK1_RS02195	ybaV	Gene	ybaV	protein_coding		ECOK1_RS02195	ECOK1_0424	.
416	NC_017628.1	RefSeq	gene	467816	468214	.	+	.	ID=gene-ECOK1_RS02200;Name=fadM;gbkey=Gene;gene=fadM;gene_biotype=protein_coding;locus_tag=ECOK1_RS02200;old_locus_tag=ECOK1_0425	gene-ECOK1_RS02200	fadM	Gene	fadM	protein_coding		ECOK1_RS02200	ECOK1_0425	.
417	NC_017628.1	RefSeq	gene	468266	468961	.	-	.	ID=gene-ECOK1_RS02205;Name=queC;gbkey=Gene;gene=queC;gene_biotype=protein_coding;locus_tag=ECOK1_RS02205;old_locus_tag=ECOK1_0426	gene-ECOK1_RS02205	queC	Gene	queC	protein_coding		ECOK1_RS02205	ECOK1_0426	.
418	NC_017628.1	RefSeq	gene	469026	470726	.	-	.	ID=gene-ECOK1_RS02210;Name=ybaE;gbkey=Gene;gene=ybaE;gene_biotype=protein_coding;locus_tag=ECOK1_RS02210;old_locus_tag=ECOK1_0427	gene-ECOK1_RS02210	ybaE	Gene	ybaE	protein_coding		ECOK1_RS02210	ECOK1_0427	.
419	NC_017628.1	RefSeq	gene	470826	471644	.	+	.	ID=gene-ECOK1_RS02215;Name=cof;gbkey=Gene;gene=cof;gene_biotype=protein_coding;locus_tag=ECOK1_RS02215;old_locus_tag=ECOK1_0428	gene-ECOK1_RS02215	cof	Gene	cof	protein_coding		ECOK1_RS02215	ECOK1_0428	.
420	NC_017628.1	RefSeq	gene	471797	472255	.	+	.	ID=gene-ECOK1_RS02220;Name=decR;gbkey=Gene;gene=decR;gene_biotype=protein_coding;locus_tag=ECOK1_RS02220;old_locus_tag=ECOK1_0429	gene-ECOK1_RS02220	decR	Gene	decR	protein_coding		ECOK1_RS02220	ECOK1_0429	.
421	NC_017628.1	RefSeq	gene	472285	474057	.	+	.	ID=gene-ECOK1_RS02225;Name=mdlA;gbkey=Gene;gene=mdlA;gene_biotype=protein_coding;locus_tag=ECOK1_RS02225;old_locus_tag=ECOK1_0430	gene-ECOK1_RS02225	mdlA	Gene	mdlA	protein_coding		ECOK1_RS02225	ECOK1_0430	.
422	NC_017628.1	RefSeq	gene	474050	475831	.	+	.	ID=gene-ECOK1_RS02230;Name=mdlB;gbkey=Gene;gene=mdlB;gene_biotype=protein_coding;locus_tag=ECOK1_RS02230;old_locus_tag=ECOK1_0431	gene-ECOK1_RS02230	mdlB	Gene	mdlB	protein_coding		ECOK1_RS02230	ECOK1_0431	.
423	NC_017628.1	RefSeq	gene	476012	476350	.	+	.	ID=gene-ECOK1_RS02235;Name=glnK;gbkey=Gene;gene=glnK;gene_biotype=protein_coding;locus_tag=ECOK1_RS02235;old_locus_tag=ECOK1_0432	gene-ECOK1_RS02235	glnK	Gene	glnK	protein_coding		ECOK1_RS02235	ECOK1_0432	.
424	NC_017628.1	RefSeq	gene	476380	477666	.	+	.	ID=gene-ECOK1_RS02240;Name=amtB;gbkey=Gene;gene=amtB;gene_biotype=protein_coding;locus_tag=ECOK1_RS02240;old_locus_tag=ECOK1_0433	gene-ECOK1_RS02240	amtB	Gene	amtB	protein_coding		ECOK1_RS02240	ECOK1_0433	.
425	NC_017628.1	RefSeq	gene	477715	478575	.	-	.	ID=gene-ECOK1_RS02245;Name=tesB;gbkey=Gene;gene=tesB;gene_biotype=protein_coding;locus_tag=ECOK1_RS02245;old_locus_tag=ECOK1_0434	gene-ECOK1_RS02245	tesB	Gene	tesB	protein_coding		ECOK1_RS02245	ECOK1_0434	.
426	NC_017628.1	RefSeq	gene	478793	479365	.	+	.	ID=gene-ECOK1_RS02250;Name=ybaY;gbkey=Gene;gene=ybaY;gene_biotype=protein_coding;locus_tag=ECOK1_RS02250;old_locus_tag=ECOK1_0436	gene-ECOK1_RS02250	ybaY	Gene	ybaY	protein_coding		ECOK1_RS02250	ECOK1_0436	.
427	NC_017628.1	RefSeq	gene	479396	479707	.	-	.	ID=gene-ECOK1_RS02255;Name=ECOK1_RS02255;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ECOK1_RS02255;old_locus_tag=ECOK1_0437	gene-ECOK1_RS02255	ECOK1_RS02255	Gene		protein_coding		ECOK1_RS02255	ECOK1_0437	.
428	NC_017628.1	RefSeq	gene	479870	479966	.	+	.	ID=gene-ECOK1_RS25735;Name=ffs;gbkey=Gene;gene=ffs;gene_biotype=SRP_RNA;locus_tag=ECOK1_RS25735	gene-ECOK1_RS25735	ffs	Gene	ffs	SRP_RNA		ECOK1_RS25735		.
429	NC_017628.1	RefSeq	gene	480086	480439	.	+	.	ID=gene-ECOK1_RS02260;Name=ybaA;gbkey=Gene;gene=ybaA;gene_biotype=protein_coding;locus_tag=ECOK1_RS02260;old_locus_tag=ECOK1_0438	gene-ECOK1_RS02260	ybaA	Gene	ybaA	protein_coding		ECOK1_RS02260	ECOK1_0438	.
430	NC_017628.1	RefSeq	gene	480481	482031	.	-	.	ID=gene-ECOK1_RS02265;Name=pdeB;gbkey=Gene;gene=pdeB;gene_biotype=protein_coding;locus_tag=ECOK1_RS02265;old_locus_tag=ECOK1_0439	gene-ECOK1_RS02265	pdeB	Gene	pdeB	protein_coding		ECOK1_RS02265	ECOK1_0439	.
431	NC_017628.1	RefSeq	gene	482195	482665	.	-	.	ID=gene-ECOK1_RS02270;Name=ylaC;gbkey=Gene;gene=ylaC;gene_biotype=protein_coding;locus_tag=ECOK1_RS02270;old_locus_tag=ECOK1_0440	gene-ECOK1_RS02270	ylaC	Gene	ylaC	protein_coding		ECOK1_RS02270	ECOK1_0440	.
432	NC_017628.1	RefSeq	gene	482781	483332	.	-	.	ID=gene-ECOK1_RS02275;Name=maa;gbkey=Gene;gene=maa;gene_biotype=protein_coding;locus_tag=ECOK1_RS02275;old_locus_tag=ECOK1_0441	gene-ECOK1_RS02275	maa	Gene	maa	protein_coding		ECOK1_RS02275	ECOK1_0441	.
433	NC_017628.1	RefSeq	gene	483506	483724	.	-	.	ID=gene-ECOK1_RS02280;Name=hha;gbkey=Gene;gene=hha;gene_biotype=protein_coding;locus_tag=ECOK1_RS02280;old_locus_tag=ECOK1_0442	gene-ECOK1_RS02280	hha	Gene	hha	protein_coding		ECOK1_RS02280	ECOK1_0442	.
434	NC_017628.1	RefSeq	gene	483750	484124	.	-	.	ID=gene-ECOK1_RS02285;Name=tomB;gbkey=Gene;gene=tomB;gene_biotype=protein_coding;locus_tag=ECOK1_RS02285;old_locus_tag=ECOK1_0443	gene-ECOK1_RS02285	tomB	Gene	tomB	protein_coding		ECOK1_RS02285	ECOK1_0443	.
435	NC_017628.1	RefSeq	gene	484669	487818	.	-	.	ID=gene-ECOK1_RS02290;Name=acrB;gbkey=Gene;gene=acrB;gene_biotype=protein_coding;locus_tag=ECOK1_RS02290;old_locus_tag=ECOK1_0444	gene-ECOK1_RS02290	acrB	Gene	acrB	protein_coding		ECOK1_RS02290	ECOK1_0444	.
436	NC_017628.1	RefSeq	gene	487841	489034	.	-	.	ID=gene-ECOK1_RS02295;Name=acrA;gbkey=Gene;gene=acrA;gene_biotype=protein_coding;locus_tag=ECOK1_RS02295;old_locus_tag=ECOK1_0445	gene-ECOK1_RS02295	acrA	Gene	acrA	protein_coding		ECOK1_RS02295	ECOK1_0445	.
437	NC_017628.1	RefSeq	gene	489176	489823	.	+	.	ID=gene-ECOK1_RS02300;Name=acrR;gbkey=Gene;gene=acrR;gene_biotype=protein_coding;locus_tag=ECOK1_RS02300;old_locus_tag=ECOK1_0446	gene-ECOK1_RS02300	acrR	Gene	acrR	protein_coding		ECOK1_RS02300	ECOK1_0446	.
438	NC_017628.1	RefSeq	gene	489951	493313	.	+	.	ID=gene-ECOK1_RS02305;Name=mscK;gbkey=Gene;gene=mscK;gene_biotype=protein_coding;locus_tag=ECOK1_RS02305;old_locus_tag=ECOK1_0447	gene-ECOK1_RS02305	mscK	Gene	mscK	protein_coding		ECOK1_RS02305	ECOK1_0447	.
439	NC_017628.1	RefSeq	gene	493525	493686	.	-	.	ID=gene-ECOK1_RS02315;Name=rsmS;gbkey=Gene;gene=rsmS;gene_biotype=protein_coding;locus_tag=ECOK1_RS02315;old_locus_tag=ECOK1_0448	gene-ECOK1_RS02315	rsmS	Gene	rsmS	protein_coding		ECOK1_RS02315	ECOK1_0448	.
440	NC_017628.1	RefSeq	gene	493700	494227	.	-	.	ID=gene-ECOK1_RS02320;Name=priC;gbkey=Gene;gene=priC;gene_biotype=protein_coding;locus_tag=ECOK1_RS02320;old_locus_tag=ECOK1_0449	gene-ECOK1_RS02320	priC	Gene	priC	protein_coding		ECOK1_RS02320	ECOK1_0449	.
441	NC_017628.1	RefSeq	gene	494297	494674	.	+	.	ID=gene-ECOK1_RS02325;Name=ybaN;gbkey=Gene;gene=ybaN;gene_biotype=protein_coding;locus_tag=ECOK1_RS02325;old_locus_tag=ECOK1_0450	gene-ECOK1_RS02325	ybaN	Gene	ybaN	protein_coding		ECOK1_RS02325	ECOK1_0450	.
442	NC_017628.1	RefSeq	gene	494827	495378	.	+	.	ID=gene-ECOK1_RS02330;Name=apt;gbkey=Gene;gene=apt;gene_biotype=protein_coding;locus_tag=ECOK1_RS02330;old_locus_tag=ECOK1_0451	gene-ECOK1_RS02330	apt	Gene	apt	protein_coding		ECOK1_RS02330	ECOK1_0451	.
443	NC_017628.1	RefSeq	gene	495507	497438	.	+	.	ID=gene-ECOK1_RS02335;Name=dnaX;gbkey=Gene;gene=dnaX;gene_biotype=protein_coding;locus_tag=ECOK1_RS02335;old_locus_tag=ECOK1_0452	gene-ECOK1_RS02335	dnaX	Gene	dnaX	protein_coding		ECOK1_RS02335	ECOK1_0452	.
444	NC_017628.1	RefSeq	gene	497491	497820	.	+	.	ID=gene-ECOK1_RS02340;Name=ybaB;gbkey=Gene;gene=ybaB;gene_biotype=protein_coding;locus_tag=ECOK1_RS02340;old_locus_tag=ECOK1_0453	gene-ECOK1_RS02340	ybaB	Gene	ybaB	protein_coding		ECOK1_RS02340	ECOK1_0453	.
445	NC_017628.1	RefSeq	gene	497820	498425	.	+	.	ID=gene-ECOK1_RS02345;Name=recR;gbkey=Gene;gene=recR;gene_biotype=protein_coding;locus_tag=ECOK1_RS02345;old_locus_tag=ECOK1_0454	gene-ECOK1_RS02345	recR	Gene	recR	protein_coding		ECOK1_RS02345	ECOK1_0454	.
446	NC_017628.1	RefSeq	gene	498535	500409	.	+	.	ID=gene-ECOK1_RS02350;Name=htpG;gbkey=Gene;gene=htpG;gene_biotype=protein_coding;locus_tag=ECOK1_RS02350;old_locus_tag=ECOK1_0455	gene-ECOK1_RS02350	htpG	Gene	htpG	protein_coding		ECOK1_RS02350	ECOK1_0455	.
447	NC_017628.1	RefSeq	gene	500590	501234	.	+	.	ID=gene-ECOK1_RS02355;Name=adk;gbkey=Gene;gene=adk;gene_biotype=protein_coding;locus_tag=ECOK1_RS02355;old_locus_tag=ECOK1_0456	gene-ECOK1_RS02355	adk	Gene	adk	protein_coding		ECOK1_RS02355	ECOK1_0456	.
448	NC_017628.1	RefSeq	gene	501366	502328	.	+	.	ID=gene-ECOK1_RS02360;Name=hemH;gbkey=Gene;gene=hemH;gene_biotype=protein_coding;locus_tag=ECOK1_RS02360;old_locus_tag=ECOK1_0458	gene-ECOK1_RS02360	hemH	Gene	hemH	protein_coding		ECOK1_RS02360	ECOK1_0458	.
449	NC_017628.1	RefSeq	gene	502325	503284	.	-	.	ID=gene-ECOK1_RS02365;Name=aes;gbkey=Gene;gene=aes;gene_biotype=protein_coding;locus_tag=ECOK1_RS02365;old_locus_tag=ECOK1_0457	gene-ECOK1_RS02365	aes	Gene	aes	protein_coding		ECOK1_RS02365	ECOK1_0457	.
450	NC_017628.1	RefSeq	gene	503436	504740	.	+	.	ID=gene-ECOK1_RS02370;Name=gsk;gbkey=Gene;gene=gsk;gene_biotype=protein_coding;locus_tag=ECOK1_RS02370;old_locus_tag=ECOK1_0459	gene-ECOK1_RS02370	gsk	Gene	gsk	protein_coding		ECOK1_RS02370	ECOK1_0459	.
451	NC_017628.1	RefSeq	gene	504870	506546	.	-	.	ID=gene-ECOK1_RS02375;Name=ybaL;gbkey=Gene;gene=ybaL;gene_biotype=protein_coding;locus_tag=ECOK1_RS02375;old_locus_tag=ECOK1_0460	gene-ECOK1_RS02375	ybaL	Gene	ybaL	protein_coding		ECOK1_RS02375	ECOK1_0460	.
452	NC_017628.1	RefSeq	gene	506785	508005	.	-	.	ID=gene-ECOK1_RS02380;Name=fsr;gbkey=Gene;gene=fsr;gene_biotype=protein_coding;locus_tag=ECOK1_RS02380;old_locus_tag=ECOK1_0461	gene-ECOK1_RS02380	fsr	Gene	fsr	protein_coding		ECOK1_RS02380	ECOK1_0461	.
453	NC_017628.1	RefSeq	gene	508223	509875	.	+	.	ID=gene-ECOK1_RS02385;Name=ushA;gbkey=Gene;gene=ushA;gene_biotype=protein_coding;locus_tag=ECOK1_RS02385;old_locus_tag=ECOK1_0462	gene-ECOK1_RS02385	ushA	Gene	ushA	protein_coding		ECOK1_RS02385	ECOK1_0462	.
454	NC_017628.1	RefSeq	gene	509913	510416	.	-	.	ID=gene-ECOK1_RS02390;Name=ECOK1_RS02390;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ECOK1_RS02390;old_locus_tag=ECOK1_0463	gene-ECOK1_RS02390	ECOK1_RS02390	Gene		protein_coding		ECOK1_RS02390	ECOK1_0463	.
455	NC_017628.1	RefSeq	gene	510413	511213	.	-	.	ID=gene-ECOK1_RS02395;Name=ECOK1_RS02395;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ECOK1_RS02395;old_locus_tag=ECOK1_0464	gene-ECOK1_RS02395	ECOK1_RS02395	Gene		protein_coding		ECOK1_RS02395	ECOK1_0464	.
456	NC_017628.1	RefSeq	gene	511237	511716	.	-	.	ID=gene-ECOK1_RS02400;Name=ybaK;gbkey=Gene;gene=ybaK;gene_biotype=protein_coding;locus_tag=ECOK1_RS02400;old_locus_tag=ECOK1_0465	gene-ECOK1_RS02400	ybaK	Gene	ybaK	protein_coding		ECOK1_RS02400	ECOK1_0465	.
457	NC_017628.1	RefSeq	gene	511920	512714	.	-	.	ID=gene-ECOK1_RS02405;Name=ybaP;gbkey=Gene;gene=ybaP;gene_biotype=protein_coding;locus_tag=ECOK1_RS02405;old_locus_tag=ECOK1_0466	gene-ECOK1_RS02405	ybaP	Gene	ybaP	protein_coding		ECOK1_RS02405	ECOK1_0466	.
458	NC_017628.1	RefSeq	gene	512847	513149	.	+	.	ID=gene-ECOK1_RS02410;Name=ECOK1_RS02410;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ECOK1_RS02410	gene-ECOK1_RS02410	ECOK1_RS02410	Gene		protein_coding		ECOK1_RS02410		.
459	NC_017628.1	RefSeq	gene	513185	513526	.	+	.	ID=gene-ECOK1_RS02415;Name=ybaQ;gbkey=Gene;gene=ybaQ;gene_biotype=protein_coding;locus_tag=ECOK1_RS02415;old_locus_tag=ECOK1_0467	gene-ECOK1_RS02415	ybaQ	Gene	ybaQ	protein_coding		ECOK1_RS02415	ECOK1_0467	.
460	NC_017628.1	RefSeq	gene	513584	516088	.	-	.	ID=gene-ECOK1_RS02420;Name=copA;gbkey=Gene;gene=copA;gene_biotype=protein_coding;locus_tag=ECOK1_RS02420;old_locus_tag=ECOK1_0468	gene-ECOK1_RS02420	copA	Gene	copA	protein_coding		ECOK1_RS02420	ECOK1_0468	.
461	NC_017628.1	RefSeq	gene	516350	517282	.	+	.	ID=gene-ECOK1_RS02425;Name=glsA;gbkey=Gene;gene=glsA;gene_biotype=protein_coding;locus_tag=ECOK1_RS02425;old_locus_tag=ECOK1_0469	gene-ECOK1_RS02425	glsA	Gene	glsA	protein_coding		ECOK1_RS02425	ECOK1_0469	.
462	NC_017628.1	RefSeq	gene	517285	518577	.	+	.	ID=gene-ECOK1_RS02430;Name=ybaT;gbkey=Gene;gene=ybaT;gene_biotype=protein_coding;locus_tag=ECOK1_RS02430;old_locus_tag=ECOK1_0470	gene-ECOK1_RS02430	ybaT	Gene	ybaT	protein_coding		ECOK1_RS02430	ECOK1_0470	.
463	NC_017628.1	RefSeq	gene	518702	519109	.	+	.	ID=gene-ECOK1_RS02435;Name=cueR;gbkey=Gene;gene=cueR;gene_biotype=protein_coding;locus_tag=ECOK1_RS02435;old_locus_tag=ECOK1_0471	gene-ECOK1_RS02435	cueR	Gene	cueR	protein_coding		ECOK1_RS02435	ECOK1_0471	.
464	NC_017628.1	RefSeq	gene	519113	519316	.	-	.	ID=gene-ECOK1_RS02440;Name=ECOK1_RS02440;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ECOK1_RS02440;old_locus_tag=ECOK1_0472	gene-ECOK1_RS02440	ECOK1_RS02440	Gene		protein_coding		ECOK1_RS02440	ECOK1_0472	.
465	NC_017628.1	RefSeq	gene	519313	519735	.	-	.	ID=gene-ECOK1_RS02445;Name=ECOK1_RS02445;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ECOK1_RS02445;old_locus_tag=ECOK1_0473	gene-ECOK1_RS02445	ECOK1_RS02445	Gene		protein_coding		ECOK1_RS02445	ECOK1_0473	.
466	NC_017628.1	RefSeq	gene	519821	520837	.	-	.	ID=gene-ECOK1_RS02450;Name=ECOK1_RS02450;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ECOK1_RS02450;old_locus_tag=ECOK1_0474	gene-ECOK1_RS02450	ECOK1_RS02450	Gene		protein_coding		ECOK1_RS02450	ECOK1_0474	.
467	NC_017628.1	RefSeq	gene	521204	521566	.	+	.	ID=gene-ECOK1_RS02455;Name=ECOK1_RS02455;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ECOK1_RS02455;old_locus_tag=ECOK1_0476	gene-ECOK1_RS02455	ECOK1_RS02455	Gene		protein_coding		ECOK1_RS02455	ECOK1_0476	.
468	NC_017628.1	RefSeq	gene	521669	522127	.	-	.	ID=gene-ECOK1_RS02460;Name=ybbJ;gbkey=Gene;gene=ybbJ;gene_biotype=protein_coding;locus_tag=ECOK1_RS02460;old_locus_tag=ECOK1_0477	gene-ECOK1_RS02460	ybbJ	Gene	ybbJ	protein_coding		ECOK1_RS02460	ECOK1_0477	.
469	NC_017628.1	RefSeq	gene	522124	523041	.	-	.	ID=gene-ECOK1_RS02465;Name=qmcA;gbkey=Gene;gene=qmcA;gene_biotype=protein_coding;locus_tag=ECOK1_RS02465;old_locus_tag=ECOK1_0478	gene-ECOK1_RS02465	qmcA	Gene	qmcA	protein_coding		ECOK1_RS02465	ECOK1_0478	.
470	NC_017628.1	RefSeq	gene	523187	523864	.	+	.	ID=gene-ECOK1_RS02470;Name=fetA;gbkey=Gene;gene=fetA;gene_biotype=protein_coding;locus_tag=ECOK1_RS02470;old_locus_tag=ECOK1_0479	gene-ECOK1_RS02470	fetA	Gene	fetA	protein_coding		ECOK1_RS02470	ECOK1_0479	.
471	NC_017628.1	RefSeq	gene	523851	524630	.	+	.	ID=gene-ECOK1_RS02475;Name=fetB;gbkey=Gene;gene=fetB;gene_biotype=protein_coding;locus_tag=ECOK1_RS02475;old_locus_tag=ECOK1_0480	gene-ECOK1_RS02475	fetB	Gene	fetB	protein_coding		ECOK1_RS02475	ECOK1_0480	.
